Date,Open,High,Low,Close,Adj Close,Volume
2019-04-10,9.578330,9.578330,9.300000,9.358330,9.241845,1062000
2019-04-11,9.400000,9.576670,8.985000,9.166670,9.052570,6698400
2019-04-12,9.016670,9.415000,9.016670,9.200000,9.085485,2635800
2019-04-15,9.245000,9.326670,9.066670,9.066670,8.953816,1126200
2019-04-16,9.058330,9.150000,8.933330,9.038330,8.925828,1143600
2019-04-17,9.083330,9.546670,8.980000,9.383330,9.266535,5375400
2019-04-18,9.500000,10.046700,9.400000,9.998330,9.873879,4107600
2019-04-22,10.048300,10.823300,10.048300,10.600000,10.468060,7189200
2019-04-23,10.766700,11.083300,10.328300,10.398300,10.268870,6465000
2019-04-24,10.473300,10.658300,10.383300,10.596700,10.464801,5920800
2019-04-25,10.666700,10.760000,10.550000,10.650000,10.517437,2685600
2019-04-26,10.733300,10.755000,10.550000,10.733300,10.599701,1401600
2019-04-29,10.750000,10.953300,10.666700,10.666700,10.533930,2881800
2019-04-30,10.813300,10.885000,10.683300,10.810000,10.675447,1575600
2019-05-02,10.833300,11.133300,10.450000,10.613300,10.481194,4265400
2019-05-03,10.613300,10.725000,10.135000,10.725000,10.591504,3565800
2019-05-06,10.500000,10.680000,10.463300,10.553300,10.421941,1594200
2019-05-07,10.583300,10.646700,10.335000,10.548300,10.417004,1555800
2019-05-08,10.596700,10.666700,10.406700,10.406700,10.277166,2421600
2019-05-09,10.408300,10.566700,10.150000,10.208300,10.081235,1823400
2019-05-10,10.235000,10.435000,9.876670,9.886670,9.763609,1926000
2019-05-13,9.831670,9.831670,9.451670,9.466670,9.348837,2671200
2019-05-14,9.633330,9.716670,9.048330,9.200000,9.085485,3460800
2019-05-15,9.166670,9.433330,9.090000,9.416670,9.299459,3887400
2019-05-16,9.468330,10.025000,9.281670,9.833330,9.710933,6166200
2019-05-17,9.833330,9.991670,9.523330,9.635000,9.515072,3867000
2019-05-20,9.600000,10.290000,9.600000,10.161700,10.035215,3902400
2019-05-21,10.250000,10.816700,10.240000,10.700000,10.566815,3197400
2019-05-22,10.700000,10.898300,10.435000,10.540000,10.408807,2867400
2019-05-23,10.566700,10.748300,10.450000,10.741700,10.607996,1582200
2019-05-24,10.766700,10.895000,10.585000,10.766700,10.632685,2295000
2019-05-27,10.830000,10.998300,10.801700,10.923300,10.787335,2018400
2019-05-28,10.933300,11.433300,10.933300,11.416700,11.274594,6513600
2019-05-29,11.398300,11.658300,11.306700,11.600000,11.455613,5370000
2019-05-30,11.616700,11.860000,11.533300,11.581700,11.437541,2994600
2019-05-31,11.555000,11.555000,11.196700,11.206700,11.067208,2461200
2019-06-03,11.206700,11.333300,10.950000,11.016700,10.879573,4917000
2019-06-04,11.148300,11.243300,10.666700,10.666700,10.533930,2742600
2019-06-05,10.666700,10.666700,9.926670,9.926670,9.803111,4714800
2019-06-06,10.050000,10.435000,9.423330,10.415000,10.285362,8655000
2019-06-07,10.583300,10.811700,10.516700,10.581700,10.449988,3337800
2019-06-10,10.586700,10.733300,10.201700,10.733300,10.599701,3766800
2019-06-11,10.886700,11.000000,10.683300,10.683300,10.550323,4267200
2019-06-12,10.716700,10.900000,10.333300,10.333300,10.204679,3783000
2019-06-13,10.453300,10.583300,10.083300,10.133300,10.007169,2589600
2019-06-14,10.166700,10.351700,10.083300,10.166700,10.040154,1880400
2019-06-17,10.243300,10.280000,9.768330,9.868330,9.745497,6316200
2019-06-18,9.986670,10.100000,9.900000,9.970000,9.845901,2876400
2019-06-19,9.970000,10.100000,9.901670,9.950000,9.826150,5479800
2019-06-21,10.033300,10.033300,9.843330,10.031700,9.906834,34282800
2019-06-24,10.036700,10.321700,9.916670,9.950000,9.826150,3781200
2019-06-25,9.968330,10.068300,9.850000,9.998330,9.873879,1758000
2019-06-26,9.998330,10.096700,9.785000,9.805000,9.682956,1861200
2019-06-27,9.833330,10.138300,9.668330,10.138300,10.012107,4611000
2019-06-28,10.200000,10.275000,10.141700,10.151700,10.151700,4111800
2019-07-01,10.250000,10.333300,10.250000,10.300000,10.300000,2281200
2019-07-02,10.333300,10.456700,10.186700,10.416700,10.416700,2403600
2019-07-03,10.460000,10.763300,10.433300,10.750000,10.750000,5140800
2019-07-04,11.090000,11.860000,10.950000,11.860000,11.860000,9435900
